Metric,Q4 2024 Amount,Q3 2024 Amount,Change
Cash and Cash Equivalents,$4500000,$4200000,7.1%
Accounts Receivable,$850000,$780000,9.0%
Inventory,$320000,$290000,10.3%
Prepaid Expenses,$120000,$110000,9.1%
Total Current Assets,$5790000,$5380000,7.6%
Property Plant Equipment,$2100000,$2000000,5.0%
Intangible Assets,$450000,$400000,12.5%
Total Assets,$8340000,$7780000,7.2%
Accounts Payable,$420000,$380000,10.5%
Short Term Debt,$600000,$550000,9.1%
Accrued Liabilities,$180000,$160000,12.5%
Total Current Liabilities,$1200000,$1090000,10.1%
Long Term Debt,$1500000,$1600000,-6.3%
Total Liabilities,$2700000,$2690000,0.4%
Common Stock,$1000000,$1000000,0.0%
Retained Earnings,$4640000,$4090000,13.4%
Total Stockholders Equity,$5640000,$5090000,10.8%
